"team","season","returning_ppa_pct","returning_passing_ppa_pct","returning_usage_pct","talent_percentile","preseason_poll_vote_share","retained_quality","replacement_capacity","portal_incoming_count","portal_outgoing_count","portal_rated_incoming_count","portal_incoming_value","portal_incoming_percentile","portal_offense_ppa","portal_offense_score","portal_offense_eligible_count","portal_offense_matched_count","portal_offense_match_rate","portal_replacement_capacity","portal_offense_replacement","roster_rebuild_score","roster_rebuild_flag","hype_gap","source","captured_at"
"Iowa State",2021,0.929,0.953,0.895,0.584615384615385,0.723535731763498,0.8346484375,0.0415076923076923,2,7,1,0.0386363636363636,0.396153846153846,0,-0.491494242760212,0,0,1,0.0415961538461538,-0.0516068954898223,0,FALSE,0.0554086538461539,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Kansas",2021,0.84,0.707,0.841,0.453846153846154,0,0.0328125,0.0726153846153846,13,27,2,0.0772727272727273,0.6,65.7937832167832,1.9280721392467,4,2,0.5,0.0954,0.306563470140226,0.306563470140226,FALSE,0.3609375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Kansas State",2021,0.91,1.119,0.785,0.492307692307692,0,0.1990625,0.0443076923076923,8,15,3,0.111818181818182,0.673076923076923,4.43976923076923,0.364634021473709,2,2,1,0.144711538461538,0.0783963146168475,0.0783963146168475,FALSE,0.18125,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Kent State",2021,0.903,1,0.911,0.138461538461538,0,0.87478125,0.0134307692307692,7,14,0,0,0,9.99528671328671,0.650476285117255,3,2,0.666666666666667,0,0.0578923893754356,0.0578923893754356,FALSE,-0.56875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Kentucky",2021,0.386,-7.316,0.423,0.776923076923077,0,0.129671875,0.477030769230769,7,10,7,0.27,0.938461538461538,27.6068006993007,1.10483574396211,3,3,1,0.541492307692308,0.637490224266138,0.637490224266138,TRUE,0.0640625,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"LSU",2021,0.602,0.571,0.668,0.969230769230769,0.408623214049451,0.145796875,0.385753846153846,2,14,2,0.0809090909090909,0.623076923076923,0,-0.491494242760212,0,0,1,0.206861538461538,-0.163176088596391,0,FALSE,0.650120192307692,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Liberty",2021,0.9,0.919,0.831,0.0384615384615385,0,0.8015625,0.00384615384615385,6,9,1,0.0381818181818182,0.373076923076923,0,-0.491494242760212,2,0,0,0.06305,-0.0830625270264759,0,FALSE,-0.490625,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Louisiana",2021,0.707,1,0.65,0.269230769230769,0.114376553217062,0.5799609375,0.0788846153846154,9,7,3,0.11,0.65,-1.46244055944056,-1.35028969383193,5,3,0.6,0.2275,-0.472601392841175,0,FALSE,0.0104567307692308,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Louisiana Tech",2021,0.699,0.959,0.619,0.423076923076923,0,0.098296875,0.127346153846154,9,11,2,0.0745454545454546,0.534615384615385,20.2960384615385,0.942075774995776,4,3,0.75,0.203688461538462,0.35893087027339,0.35893087027339,FALSE,0.259375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Louisville",2021,0.638,1.033,0.695,0.561538461538462,0,0.438625,0.203276923076923,6,16,3,0.117727272727273,0.730769230769231,-2.66733566433566,-1.5110754421114,1,1,1,0.222884615384615,-0.460878009843977,0,FALSE,-0.2875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Marshall",2021,0.698,0.952,0.728,0.323076923076923,0,0.654375,0.0975692307692308,6,13,2,0.0736363636363636,0.5,-1.84741258741259,-1.45325183063353,1,1,1,0.136,-0.39528449793232,0,FALSE,-0.5375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Maryland",2021,0.654,0.921,0.675,0.753846153846154,0,0.137953125,0.260830769230769,1,15,1,0.0381818181818182,0.373076923076923,1.39351748251748,0.0868770641041152,1,1,1,0.12125,0.0282350458338374,0.0282350458338374,FALSE,0.1890625,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Massachusetts",2021,-3.1,0.048,0.547,0.0461538461538462,0,-0.0484375,0.189230769230769,11,21,1,0.0363636363636364,0.269230769230769,0.807034965034965,0.0482230735559222,3,2,0.666666666666667,0.121961538461538,0.0218450523208328,0.0218450523208328,FALSE,0.384375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Memphis",2021,0.362,0.002,0.494,0.507692307692308,0,0.183828125,0.323907692307692,13,26,5,0.186363636363636,0.869230769230769,0.920192307692308,0.0675374539302957,3,1,0.333333333333333,0.439830769230769,0.0341739516887296,0.0341739516887296,FALSE,-0.1078125,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Miami",2021,0.835,0.897,0.882,0.907692307692308,0.391506941355944,0.4892578125,0.149769230769231,4,6,4,0.158636363636364,0.861538461538462,12.2798601398601,0.723731208890475,1,1,1,0.101661538461538,0.0854002826490761,0.0854002826490761,FALSE,0.298677884615385,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Miami (OH)",2021,0.968,1,0.874,0.153846153846154,0,0.6579375,0.00492307692307693,2,10,0,0,0,0.154,-0.00964102733189815,1,1,1,0,-0.00121476944381917,0,FALSE,-0.2796875,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Michigan",2021,0.536,0.29,0.531,0.892307692307692,0,0.142375,0.414030769230769,5,20,3,0.116818181818182,0.723076923076923,31.0104545454545,1.2183870521704,2,1,0.5,0.339123076923077,0.57142352746792,0.57142352746792,TRUE,0.134375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Michigan State",2021,0.571,0.429,0.671,0.730769230769231,0,0.0490703125,0.3135,14,21,8,0.300454545454545,0.953846153846154,51.2784090909091,1.81691082279994,5,3,0.6,0.313815384615385,0.59776366070118,0.59776366070118,TRUE,0.3140625,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Middle Tennessee",2021,0.576,0.078,0.435,0.384615384615385,0,0.09,0.163076923076923,6,10,2,0.0736363636363636,0.5,94.7563986013986,2.66528510602498,3,3,1,0.2825,1.50588608490411,1.50588608490411,TRUE,0.24375,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
"Minnesota",2021,0.811,0.981,0.893,0.676923076923077,0,0.316796875,0.127938461538462,7,12,5,0.188181818181818,0.876923076923077,0,-0.491494242760212,1,0,0,0.0938307692307692,-0.0525898839753427,0,FALSE,0.00937500000000002,"cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls","2026-08-31 23:27:28 UTC"
