team,season,returning_ppa_pct,returning_passing_ppa_pct,returning_usage_pct,talent_percentile,preseason_poll_vote_share,retained_quality,replacement_capacity,portal_incoming_count,portal_outgoing_count,portal_rated_incoming_count,portal_incoming_value,portal_incoming_percentile,portal_offense_ppa,portal_offense_score,portal_offense_eligible_count,portal_offense_matched_count,portal_offense_match_rate,portal_replacement_capacity,portal_offense_replacement,roster_rebuild_score,roster_rebuild_flag,hype_gap,source,captured_at
TCU,2026,0.224,0.11,0.251,0.717391304347826,0,0.155328467153285,0.556695652173913,12,14,11,0.429090909090909,0.213768115942029,136.460047826087,0.870443705285335,3,2,0.666666666666667,0.16011231884058,0.651962335258716,0.651962335258716,TRUE,-0.284010367079234,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Temple,2026,0.37,0,0.292,0.427536231884058,0,0.183649635036496,0.269347826086957,23,25,15,0.570454545454545,0.384057971014493,17.345847826087,-0.744586487499689,8,4,0.5,0.271913043478261,-0.52716723314978,0,FALSE,-0.0869300751084312,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Tennessee,2026,0.353,0.066,0.367,0.91304347826087,0.240740829804133,0.25251094890511,0.590739130434783,21,29,19,0.750909090909091,0.608695652173913,28.9327217391304,-0.361947444792599,5,5,1,0.385304347826087,-0.229112732553715,0,FALSE,0.15423675023802,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Texas,2026,0.721,0.854,0.58,0.992753623188406,0.886904181175093,0.584167883211679,0.276978260869565,22,28,19,0.766818181818182,0.63768115942029,83.8158739130435,0.304339092534113,6,5,0.833333333333333,0.267826086956522,0.127822418864327,0.127822418864327,FALSE,0.160795514651433,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Texas A&M,2026,0.728,0.972,0.702,0.956521739130435,0.675380253607754,0.669547445255474,0.260173913043478,19,21,17,0.679545454545455,0.528985507246377,79.5786630434783,0.210428394247925,4,3,0.75,0.15763768115942,0.0627076614858816,0.0627076614858816,FALSE,0.0295673331217603,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Texas State,2026,0.76,0.998,0.667,0.41304347826087,0,0.488175182481752,0.0991304347826087,18,21,15,0.578636363636364,0.420289855072464,-0.613769565217391,-1.67363223851771,3,2,0.666666666666667,0.13995652173913,-0.557319535426397,0,FALSE,-0.232915476568285,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Texas Tech,2026,0.534,0.268,0.567,0.800724637681159,0.590915102688055,0.530102189781022,0.37313768115942,22,21,20,0.794545454545455,0.659420289855073,335.04397173913,1.95380199994724,7,7,1,0.285528985507246,0.845996265977154,0.845996265977154,TRUE,-0.0651644980429493,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Toledo,2026,0.663,0.985,0.564,0.166666666666667,0,0.653321167883212,0.0561666666666667,33,38,27,0.845454545454545,0.728260869565217,104.995256521739,0.522317516182429,11,7,0.636363636363636,0.317521739130435,0.227730437055539,0.227730437055539,FALSE,-0.575981169998942,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Troy,2026,0.353,1.028,0.568,0.311594202898551,0,0.121102189781022,0.201601449275362,14,27,12,0.457727272727273,0.257246376811594,-2.04177391304348,-2.68530443546318,2,2,1,0.111130434782609,-1.1600515161201,0,FALSE,0.0663545964244155,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Tulane,2026,0.21,0,0.185,0.5,0,0.105766423357664,0.395,20,27,10,0.384545454545455,0.166666666666667,13.1312608695652,-0.897288076287578,9,4,0.444444444444444,0.135833333333333,-0.731289782174376,0,FALSE,-0.094229345181424,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Tulsa,2026,0.413,0.693,0.4,0.398550724637681,0,0.138671532846715,0.233949275362319,21,22,15,0.579545454545455,0.427536231884058,100.445793478261,0.501609793587263,10,8,0.8,0.256521739130435,0.300965876152358,0.300965876152358,FALSE,0.0736538664974082,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
UAB,2026,0.796,1,0.855,0.340579710144928,0,0.145255474452555,0.0694782608695652,38,33,35,0.848636363636364,0.739130434782609,-0.648469565217392,-1.84376502899634,9,2,0.222222222222222,0.107173913043478,-0.267345929204469,0,FALSE,0.226938538030255,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
UCF,2026,0.248,0.039,0.196,0.528985507246377,0,0.141197080291971,0.397797101449275,32,35,27,0.854545454545455,0.793478260869565,235.999339130435,1.67363223851771,8,6,0.75,0.63795652173913,1.34560031976824,1.34560031976824,TRUE,-0.159922775838358,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
UCLA,2026,0.57,0.547,0.635,0.826086956521739,0,0.0998540145985401,0.355217391304348,43,29,39,0.868636363636364,0.898550724637681,198.453702173913,1.10741176400112,13,10,0.769230769230769,0.327971014492754,0.404205293860408,0.404205293860408,FALSE,0.234237808103248,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
UL Monroe,2026,0.387,0.782,0.458,0.0507246376811594,0,0.0621459854014599,0.0310942028985507,20,17,20,0.760909090909091,0.623188405797101,19.9834695652174,-0.607561622212673,10,3,0.3,0.337768115942029,-0.329298399239269,0,FALSE,0.248836348249233,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
UNLV,2026,0.154,0.038,0.271,0.601449275362319,0,0.0977956204379562,0.508826086956522,16,15,14,0.541363636363636,0.351449275362319,46.3046630434783,-0.0818291081954181,5,4,0.8,0.25620652173913,-0.0596534198744598,0,FALSE,-0.225616206495293,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
UTEP,2026,-0.011,0.181,0.098,0.268115942028986,0,-0.00393430656934307,0.271065217391304,21,20,15,0.572272727272727,0.394927536231884,87.8919347826087,0.342620393436943,5,5,1,0.356224637681159,0.309043594880123,0.309043594880123,FALSE,0.0517560562784301,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
UTSA,2026,0.669,0.927,0.7,0.485507246376812,0,0.395540145985401,0.160702898550725,22,23,13,0.496363636363636,0.297101449275362,9.77208260869565,-1.01188257248503,7,4,0.571428571428571,0.0891304347826087,-0.303564771745509,0,FALSE,-0.181820586057336,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Utah,2026,0.679,0.974,0.715,0.58695652173913,0.180799958226724,0.589788321167883,0.188413043478261,17,21,16,0.625909090909091,0.471014492753623,97.1004782608696,0.460820299995576,7,7,1,0.134239130434783,0.131333785498739,0.131333785498739,FALSE,-0.0135406749180155,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
Utah State,2026,0.652,0.866,0.708,0.115942028985507,0,0.318861313868613,0.0403478260869565,29,19,26,0.840909090909091,0.702898550724638,45.527052173913,-0.136653928116039,8,4,0.5,0.205246376811594,-0.0399029470098834,0,FALSE,-0.0796308050354385,cfbd_returning+247_talent+transfer_portal+prior_player_ppa+week1_polls,2026-08-31 23:27:29 UTC
